neuron_1,neuron_2,neuron_3,neuron_4
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.10,0.12,0.09,0.46
0.20,0.28,0.19,0.91
0.21,0.41,0.19,0.86
0.22,0.57,0.18,0.82
0.23,0.79,0.18,0.78
0.23,1.05,0.18,0.75
0.24,1.33,0.17,0.71
0.25,1.61,0.17,0.68
0.26,1.89,0.16,0.64
0.27,2.16,0.16,0.61
0.28,2.41,0.15,0.58
0.29,2.63,0.15,0.55
0.29,2.84,0.14,0.53
0.30,3.04,0.14,0.50
0.31,3.21,0.13,0.47
0.32,3.37,0.12,0.45
0.32,3.52,0.12,0.43
0.33,3.65,0.11,0.41
0.34,3.77,0.10,0.38
0.34,3.88,0.10,0.36
0.35,3.98,0.09,0.34
0.35,4.07,0.08,0.33
0.36,4.15,0.07,0.31
0.36,4.23,0.07,0.29
0.37,4.29,0.06,0.28
0.37,4.35,0.05,0.26
0.37,4.41,0.04,0.24
0.38,4.46,0.04,0.23
0.38,4.51,0.03,0.22
0.38,4.55,0.02,0.20
0.38,4.58,0.01,0.19
0.38,4.62,0.01,0.18
0.38,4.65,0.00,0.17
0.37,4.68,-0.01,0.16
0.37,4.70,-0.01,0.15
0.37,4.72,-0.02,0.14
0.36,4.74,-0.03,0.13
0.36,4.76,-0.03,0.12
0.35,4.78,-0.04,0.11
0.34,4.79,-0.05,0.10
0.34,4.81,-0.05,0.09
0.33,4.82,-0.06,0.09
0.32,4.83,-0.06,0.08
0.31,4.84,-0.07,0.07
0.29,4.85,-0.07,0.07
0.28,4.86,-0.08,0.06
0.27,4.86,-0.08,0.05
0.25,4.87,-0.09,0.05
0.23,4.87,-0.09,0.04
0.22,4.88,-0.10,0.04
0.20,4.88,-0.10,0.03
0.18,4.88,-0.10,0.03
0.15,4.89,-0.11,0.02
0.13,4.89,-0.11,0.02
0.11,4.89,-0.11,0.02
0.08,4.89,-0.11,0.01
0.06,4.90,-0.12,0.01
0.03,4.90,-0.12,0.00
0.00,4.90,-0.12,0.00
-0.03,4.90,-0.12,-0.00
-0.06,4.90,-0.12,-0.00
-0.09,4.90,-0.12,-0.01
-0.13,4.90,-0.12,-0.01
-0.16,4.90,-0.12,-0.01
-0.20,4.90,-0.12,-0.01
-0.24,4.90,-0.12,-0.02
-0.28,4.90,-0.12,-0.02
-0.32,4.90,-0.12,-0.02
-0.36,4.90,-0.12,-0.02
-0.40,4.89,-0.11,-0.02
-0.44,4.89,-0.11,-0.03
-0.49,4.89,-0.11,-0.03
-0.53,4.89,-0.11,-0.03
-0.58,4.89,-0.11,-0.03
-0.62,4.89,-0.10,-0.03
-0.67,4.89,-0.10,-0.03
-0.72,4.89,-0.10,-0.03
-0.76,4.89,-0.09,-0.04
-0.81,4.88,-0.09,-0.04
-0.86,4.88,-0.09,-0.04
-0.91,4.88,-0.08,-0.04
-0.96,4.88,-0.08,-0.04
-1.00,4.88,-0.07,-0.04
-1.05,4.88,-0.07,-0.04
-1.10,4.87,-0.07,-0.04
-1.15,4.87,-0.06,-0.04
-1.19,4.87,-0.06,-0.04
-1.23,4.87,-0.05,-0.04
-1.28,4.87,-0.05,-0.04
-1.32,4.87,-0.04,-0.04
-1.36,4.87,-0.04,-0.04
-1.40,4.86,-0.03,-0.04
-1.43,4.86,-0.03,-0.05
-1.47,4.86,-0.02,-0.05
-1.50,4.86,-0.02,-0.05
-1.53,4.86,-0.01,-0.05
-1.56,4.86,-0.01,-0.05
-1.58,4.85,-0.01,-0.05
-1.60,4.85,-0.00,-0.05
-1.62,4.85,0.00,-0.05
-1.64,4.85,0.01,-0.05
-1.65,4.85,0.01,-0.05
-1.66,4.85,0.02,-0.05
-1.67,4.85,0.02,-0.05
-1.68,4.84,0.02,-0.05
-1.68,4.84,0.03,-0.05
-1.68,4.84,0.03,-0.05
-1.67,4.84,0.04,-0.05
-1.66,4.84,0.04,-0.05
-1.65,4.84,0.04,-0.05
-1.64,4.83,0.05,-0.05
-1.62,4.83,0.05,-0.05
-1.60,4.83,0.05,-0.05
-1.57,4.83,0.05,-0.05
-1.54,4.83,0.06,-0.05
-1.51,4.83,0.06,-0.04
-1.48,4.83,0.06,-0.04
-1.44,4.82,0.06,-0.04
-1.40,4.82,0.07,-0.04
-1.35,4.82,0.07,-0.04
-1.30,4.82,0.07,-0.04
-1.25,4.82,0.07,-0.04
-1.19,4.82,0.07,-0.04
-1.13,4.82,0.07,-0.04
-1.07,4.81,0.07,-0.04
-1.00,4.81,0.07,-0.04
-0.93,4.81,0.07,-0.04
-0.85,4.81,0.08,-0.04
-0.77,4.81,0.08,-0.04
-0.69,4.81,0.08,-0.04
-0.60,4.81,0.08,-0.04
-0.50,4.80,0.07,-0.04
-0.41,4.80,0.07,-0.04
-0.30,4.80,0.07,-0.04
-0.19,4.80,0.07,-0.04
-0.08,4.80,0.07,-0.04
0.04,4.80,0.07,-0.04
0.16,4.80,0.07,-0.04
0.29,4.80,0.07,-0.04
0.42,4.79,0.07,-0.04
0.56,4.79,0.06,-0.04
0.70,4.79,0.06,-0.04
0.85,4.79,0.06,-0.04
1.00,4.79,0.06,-0.04
1.15,4.79,0.06,-0.04
1.31,4.79,0.05,-0.04
1.46,4.78,0.05,-0.04
1.62,4.78,0.05,-0.04
1.78,4.78,0.05,-0.04
1.93,4.78,0.04,-0.04
2.08,4.78,0.04,-0.04
2.22,4.78,0.04,-0.03
2.37,4.78,0.04,-0.03
2.50,4.78,0.03,-0.03
2.63,4.77,0.03,-0.03
2.75,4.77,0.03,-0.03
2.86,4.77,0.02,-0.03
2.96,4.77,0.02,-0.03
3.06,4.77,0.02,-0.03
3.15,4.77,0.02,-0.03
3.22,4.77,0.01,-0.03
3.29,4.77,0.01,-0.03
3.35,4.77,0.01,-0.03
3.40,4.76,0.00,-0.03
3.44,4.76,0.00,-0.03
3.47,4.76,-0.00,-0.03
3.50,4.76,-0.00,-0.03
3.51,4.76,-0.01,-0.03
3.52,4.76,-0.01,-0.03
3.52,4.76,-0.01,-0.03
3.52,4.76,-0.01,-0.03
3.51,4.76,-0.02,-0.03
3.49,4.75,-0.02,-0.03
3.46,4.75,-0.02,-0.03
3.43,4.75,-0.02,-0.03
3.39,4.75,-0.03,-0.03
3.35,4.75,-0.03,-0.03
3.31,4.75,-0.03,-0.03
3.26,4.75,-0.03,-0.03
3.20,4.75,-0.03,-0.03
3.14,4.75,-0.04,-0.03
3.08,4.74,-0.04,-0.03
3.01,4.74,-0.04,-0.03
2.94,4.74,-0.04,-0.03
2.86,4.74,-0.04,-0.03
2.78,4.74,-0.04,-0.02
2.70,4.74,-0.04,-0.02
2.61,4.74,-0.04,-0.02
2.52,4.74,-0.04,-0.02
2.43,4.74,-0.05,-0.02
2.33,4.74,-0.05,-0.02
2.23,4.73,-0.05,-0.02
2.13,4.73,-0.05,-0.02
2.02,4.73,-0.05,-0.02
1.91,4.73,-0.05,-0.02
1.79,4.73,-0.05,-0.02
1.67,4.73,-0.05,-0.02
1.54,4.73,-0.05,-0.02
1.41,4.73,-0.05,-0.02
1.28,4.73,-0.05,-0.02
1.14,4.73,-0.05,-0.02
0.99,4.72,-0.04,-0.02
0.84,4.72,-0.04,-0.02
0.67,4.72,-0.04,-0.02
0.51,4.72,-0.04,-0.02
0.33,4.72,-0.04,-0.02
0.15,4.72,-0.04,-0.02
-0.05,4.72,-0.04,-0.02
-0.25,4.72,-0.04,-0.02
-0.45,4.72,-0.04,-0.02
-0.67,4.72,-0.04,-0.02
-0.89,4.72,-0.03,-0.02
-1.12,4.71,-0.03,-0.02
-1.36,4.71,-0.03,-0.02
-1.59,4.71,-0.03,-0.02
-1.83,4.71,-0.03,-0.02
-2.06,4.71,-0.03,-0.02
-2.29,4.71,-0.02,-0.02
-2.52,4.71,-0.02,-0.02
-2.73,4.71,-0.02,-0.02
-2.94,4.71,-0.02,-0.02
-3.13,4.71,-0.02,-0.02
-3.31,4.71,-0.02,-0.02
-3.48,4.70,-0.01,-0.02
-3.64,4.70,-0.01,-0.02
-3.78,4.70,-0.01,-0.02
-3.90,4.70,-0.01,-0.02
-4.01,4.70,-0.01,-0.02
-4.11,4.70,-0.00,-0.02
-4.19,4.70,-0.00,-0.02
-4.26,4.70,-0.00,-0.02
-4.32,4.70,0.00,-0.02
-4.36,4.70,0.00,-0.02
-4.40,4.70,0.00,-0.02
-4.42,4.70,0.01,-0.01
-4.43,4.70,0.01,-0.01
-4.43,4.69,0.01,-0.01
-4.43,4.69,0.01,-0.01
-4.41,4.69,0.01,-0.01
-4.39,4.69,0.01,-0.01
-4.36,4.69,0.01,-0.01
-4.32,4.69,0.02,-0.01
-4.27,4.69,0.02,-0.01
-4.22,4.69,0.02,-0.01
-4.17,4.69,0.02,-0.01
-4.11,4.69,0.02,-0.01
-4.04,4.69,0.02,-0.01
-3.97,4.69,0.02,-0.01
-3.90,4.69,0.02,-0.01
-3.82,4.68,0.02,-0.01
-3.74,4.68,0.03,-0.01
-3.66,4.68,0.03,-0.01
-3.57,4.68,0.03,-0.01
-3.48,4.68,0.03,-0.01
-3.38,4.68,0.03,-0.01
-3.28,4.68,0.03,-0.01
-3.18,4.68,0.03,-0.01
-3.08,4.68,0.03,-0.01
-2.98,4.68,0.03,-0.01
-2.87,4.68,0.03,-0.01
-2.76,4.68,0.03,-0.01
-2.64,4.68,0.03,-0.01
-2.53,4.68,0.03,-0.01
-2.41,4.67,0.03,-0.01
-2.28,4.67,0.03,-0.01
-2.16,4.67,0.03,-0.01
-2.03,4.67,0.03,-0.01
-1.89,4.67,0.03,-0.01
-1.75,4.67,0.03,-0.01
-1.61,4.67,0.03,-0.01
-1.46,4.67,0.03,-0.01
-1.31,4.67,0.03,-0.01
-1.15,4.67,0.03,-0.01
-0.98,4.67,0.02,-0.01
-0.81,4.67,0.02,-0.01
-0.62,4.67,0.02,-0.01
-0.43,4.67,0.02,-0.01
-0.24,4.67,0.02,-0.01
-0.03,4.66,0.02,-0.01
0.19,4.66,0.02,-0.01
0.41,4.66,0.02,-0.01
0.65,4.66,0.02,-0.01
0.89,4.66,0.02,-0.01
1.14,4.66,0.02,-0.01
1.39,4.66,0.01,-0.01
1.64,4.66,0.01,-0.01
1.90,4.66,0.01,-0.01
2.15,4.66,0.01,-0.01
2.40,4.66,0.01,-0.01
2.64,4.66,0.01,-0.01
2.87,4.66,0.01,-0.01
3.09,4.66,0.01,-0.01
3.30,4.66,0.01,-0.01
3.49,4.66,0.00,-0.01
3.67,4.65,0.00,-0.01
3.83,4.65,0.00,-0.01
3.97,4.65,0.00,-0.01
4.10,4.65,-0.00,-0.01
4.22,4.65,-0.00,-0.01
4.31,4.65,-0.00,-0.01
4.40,4.65,-0.00,-0.01
4.47,4.65,-0.00,-0.01
4.52,4.65,-0.01,-0.01
4.57,4.65,-0.01,-0.01
4.60,4.65,-0.01,-0.01
4.62,4.65,-0.01,-0.01
4.63,4.65,-0.01,-0.01
4.63,4.65,-0.01,-0.01
4.62,4.65,-0.01,-0.01
4.60,4.65,-0.01,-0.01
4.57,4.65,-0.01,-0.01
4.54,4.65,-0.01,-0.01
4.50,4.64,-0.01,-0.01
4.45,4.64,-0.01,-0.01
4.40,4.64,-0.01,-0.01
4.34,4.64,-0.02,-0.01
4.27,4.64,-0.02,-0.01
4.20,4.64,-0.02,-0.01
4.13,4.64,-0.02,-0.01
4.05,4.64,-0.02,-0.01
3.97,4.64,-0.02,-0.01
3.89,4.64,-0.02,-0.01
3.80,4.64,-0.02,-0.01
3.71,4.64,-0.02,-0.01
3.61,4.64,-0.02,-0.01
3.52,4.64,-0.02,-0.01
3.42,4.64,-0.02,-0.01
3.32,4.64,-0.02,-0.01
3.21,4.64,-0.02,-0.01
3.10,4.64,-0.02,-0.01
2.99,4.64,-0.02,-0.01
2.88,4.64,-0.02,-0.01
2.76,4.63,-0.02,-0.01
2.65,4.63,-0.02,-0.01
2.53,4.63,-0.02,-0.01
2.40,4.63,-0.02,-0.00
2.27,4.63,-0.02,-0.00
2.14,4.63,-0.02,-0.00
2.01,4.63,-0.02,-0.00
1.87,4.63,-0.02,-0.00
1.73,4.63,-0.02,-0.00
1.58,4.63,-0.01,-0.00
1.43,4.63,-0.01,-0.00
1.27,4.63,-0.01,-0.00
1.10,4.63,-0.01,-0.00
0.93,4.63,-0.01,-0.00
0.75,4.63,-0.01,-0.00
0.57,4.63,-0.01,-0.00
0.37,4.63,-0.01,-0.00
0.17,4.63,-0.01,-0.00
-0.05,4.63,-0.01,-0.00
-0.27,4.63,-0.01,-0.00
-0.50,4.63,-0.01,-0.00
-0.74,4.63,-0.01,-0.00
-0.99,4.63,-0.01,-0.00
-1.24,4.62,-0.01,-0.00
-1.50,4.62,-0.01,-0.00
-1.76,4.62,-0.00,-0.00
-2.02,4.62,-0.00,-0.00
-2.27,4.62,-0.00,-0.00
-2.52,4.62,-0.00,-0.00
-2.76,4.62,-0.00,-0.00
-2.99,4.62,-0.00,-0.00
-3.20,4.62,-0.00,-0.00
-3.41,4.62,0.00,-0.00
-3.59,4.62,0.00,-0.00
-3.76,4.62,0.00,-0.00
-3.92,4.62,0.00,-0.00
-4.06,4.62,0.00,-0.00
-4.18,4.62,0.00,-0.00
-4.29,4.62,0.00,-0.00
-4.38,4.62,0.00,-0.00
-4.46,4.62,0.01,-0.00
-4.53,4.62,0.01,-0.00
-4.58,4.62,0.01,-0.00
-4.61,4.62,0.01,-0.00
-4.64,4.62,0.01,-0.00
-4.66,4.62,0.01,-0.00
-4.66,4.62,0.01,-0.00
-4.66,4.62,0.01,-0.00
-4.64,4.61,0.01,-0.00
-4.62,4.61,0.01,-0.00
-4.59,4.61,0.01,-0.00
-4.55,4.61,0.01,-0.00
-4.51,4.61,0.01,-0.00
-4.46,4.61,0.01,-0.00
-4.40,4.61,0.01,-0.00
-4.34,4.61,0.01,-0.00
-4.27,4.61,0.01,-0.00
-4.20,4.61,0.01,-0.00
-4.12,4.61,0.01,-0.00
-4.05,4.61,0.01,-0.00
-3.96,4.61,0.01,-0.00
-3.88,4.61,0.01,-0.00
-3.79,4.61,0.01,-0.00
-3.69,4.61,0.01,-0.00
-3.60,4.61,0.01,-0.00
-3.50,4.61,0.01,-0.00
-3.40,4.61,0.01,-0.00
-3.29,4.61,0.01,-0.00
-3.19,4.61,0.01,-0.00
-3.08,4.61,0.01,-0.00
-2.97,4.61,0.01,-0.00
-2.85,4.61,0.01,-0.00
-2.74,4.61,0.01,-0.00
-2.62,4.61,0.01,-0.00
-2.49,4.61,0.01,-0.00
-2.37,4.61,0.01,-0.00
-2.24,4.61,0.01,-0.00
-2.11,4.60,0.01,-0.00
-1.97,4.60,0.01,-0.00
-1.83,4.60,0.01,-0.00
-1.69,4.60,0.01,-0.00
-1.54,4.60,0.01,-0.00
-1.38,4.60,0.01,-0.00
-1.22,4.60,0.01,-0.00
-1.05,4.60,0.01,-0.00
-0.88,4.60,0.01,-0.00
-0.70,4.60,0.00,-0.00
-0.51,4.60,0.00,-0.00
-0.31,4.60,0.00,-0.00
-0.10,4.60,0.00,-0.00
0.11,4.60,0.00,-0.00
0.34,4.60,0.00,-0.00
0.58,4.60,0.00,-0.00
0.82,4.60,0.00,-0.00
1.07,4.60,0.00,-0.00
1.32,4.60,0.00,-0.00
1.58,4.60,0.00,-0.00
1.84,4.60,0.00,-0.00
2.10,4.60,-0.00,-0.00
