neuron_1,neuron_2
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.10,0.10
0.20,0.20
0.31,0.30
0.32,0.31
0.33,0.32
0.35,0.33
0.36,0.33
0.37,0.33
0.38,0.33
0.40,0.32
0.41,0.32
0.42,0.31
0.43,0.30
0.45,0.28
0.46,0.26
0.47,0.24
0.48,0.22
0.49,0.19
0.50,0.16
0.51,0.13
0.52,0.10
0.52,0.06
0.53,0.02
0.54,-0.02
0.54,-0.06
0.55,-0.10
0.55,-0.15
0.55,-0.19
0.56,-0.24
0.56,-0.28
0.56,-0.33
0.56,-0.37
0.55,-0.42
0.55,-0.46
0.55,-0.50
0.54,-0.54
0.53,-0.57
0.53,-0.60
0.52,-0.63
0.51,-0.66
0.49,-0.68
0.48,-0.69
0.47,-0.71
0.45,-0.71
0.43,-0.71
0.41,-0.71
0.39,-0.70
0.37,-0.68
0.34,-0.66
0.32,-0.63
0.29,-0.60
0.26,-0.56
0.23,-0.51
0.19,-0.46
0.16,-0.41
0.12,-0.34
0.08,-0.28
0.04,-0.20
0.00,-0.12
-0.04,-0.04
-0.09,0.04
-0.14,0.13
-0.19,0.23
-0.24,0.32
-0.29,0.42
-0.35,0.51
-0.40,0.61
-0.46,0.71
-0.52,0.80
-0.58,0.89
-0.64,0.98
-0.71,1.06
-0.77,1.14
-0.84,1.21
-0.90,1.27
-0.97,1.32
-1.04,1.37
-1.10,1.40
-1.17,1.43
-1.24,1.44
-1.30,1.45
-1.37,1.44
-1.43,1.42
-1.49,1.39
-1.55,1.35
-1.61,1.30
-1.67,1.23
-1.72,1.16
-1.77,1.07
-1.82,0.97
-1.86,0.87
-1.90,0.75
-1.94,0.62
-1.98,0.48
-2.01,0.33
-2.03,0.18
-2.06,0.01
-2.08,-0.16
-2.09,-0.33
-2.10,-0.52
-2.11,-0.70
-2.11,-0.89
-2.11,-1.08
-2.10,-1.26
-2.10,-1.44
-2.08,-1.61
-2.06,-1.77
-2.04,-1.92
-2.02,-2.05
-1.99,-2.17
-1.95,-2.27
-1.92,-2.36
-1.88,-2.42
-1.83,-2.47
-1.78,-2.49
-1.73,-2.50
-1.68,-2.49
-1.62,-2.45
-1.55,-2.40
-1.48,-2.33
-1.41,-2.25
-1.33,-2.15
-1.25,-2.03
-1.17,-1.89
-1.08,-1.74
-0.99,-1.58
-0.89,-1.40
-0.78,-1.21
-0.67,-1.00
-0.56,-0.78
-0.44,-0.54
-0.31,-0.29
-0.18,-0.03
-0.04,0.25
0.10,0.53
0.25,0.82
0.41,1.12
0.57,1.41
0.73,1.70
0.91,1.98
1.08,2.25
1.26,2.50
1.44,2.72
1.62,2.92
1.80,3.09
1.98,3.23
2.16,3.34
2.33,3.42
2.49,3.47
2.65,3.50
2.80,3.49
2.94,3.46
3.07,3.41
3.19,3.33
3.30,3.23
3.40,3.10
3.49,2.96
3.56,2.80
3.63,2.62
3.69,2.43
3.73,2.21
3.77,1.99
3.80,1.74
3.82,1.48
3.83,1.21
3.83,0.92
3.82,0.61
3.81,0.28
3.79,-0.06
3.77,-0.41
3.73,-0.78
3.69,-1.15
3.65,-1.53
3.60,-1.90
3.55,-2.26
3.49,-2.59
3.43,-2.91
3.36,-3.19
3.29,-3.43
3.21,-3.64
3.13,-3.82
3.05,-3.95
2.97,-4.05
2.88,-4.11
2.78,-4.14
2.69,-4.13
2.59,-4.09
2.49,-4.03
2.38,-3.93
2.27,-3.81
2.16,-3.67
2.05,-3.51
1.93,-3.33
1.80,-3.13
1.67,-2.91
1.54,-2.67
1.40,-2.42
1.26,-2.16
1.11,-1.88
0.95,-1.58
0.79,-1.27
0.62,-0.93
0.44,-0.58
0.25,-0.22
0.06,0.17
-0.15,0.57
-0.36,0.98
-0.58,1.40
-0.81,1.81
-1.04,2.22
-1.28,2.60
-1.52,2.96
-1.77,3.28
-2.01,3.57
-2.25,3.82
-2.48,4.03
-2.71,4.19
-2.92,4.31
-3.13,4.40
-3.32,4.44
-3.49,4.45
-3.66,4.42
-3.80,4.36
-3.94,4.27
-4.05,4.16
-4.16,4.02
-4.24,3.85
-4.32,3.67
-4.38,3.47
-4.43,3.24
-4.47,3.01
-4.49,2.75
-4.51,2.48
-4.51,2.20
-4.51,1.90
-4.49,1.58
-4.47,1.25
-4.44,0.90
-4.40,0.53
-4.36,0.14
-4.31,-0.27
-4.26,-0.69
-4.20,-1.12
-4.13,-1.56
-4.06,-1.99
-3.99,-2.40
-3.91,-2.80
-3.83,-3.16
-3.74,-3.48
-3.66,-3.77
-3.56,-4.01
-3.47,-4.21
-3.37,-4.36
-3.27,-4.48
-3.17,-4.55
-3.06,-4.58
-2.96,-4.57
-2.85,-4.53
-2.73,-4.46
-2.62,-4.36
-2.50,-4.23
-2.37,-4.08
-2.25,-3.91
-2.12,-3.71
-1.99,-3.50
-1.85,-3.26
-1.71,-3.02
-1.56,-2.75
-1.41,-2.47
-1.25,-2.18
-1.09,-1.87
-0.92,-1.54
-0.74,-1.20
-0.56,-0.84
-0.36,-0.46
-0.16,-0.06
0.05,0.36
0.27,0.79
0.50,1.23
0.74,1.67
0.99,2.11
1.24,2.52
1.50,2.92
1.75,3.27
2.01,3.60
2.26,3.87
2.51,4.11
2.75,4.30
2.97,4.45
3.19,4.55
3.39,4.61
3.58,4.63
3.75,4.62
3.90,4.57
4.04,4.49
4.16,4.38
4.27,4.25
4.36,4.09
4.44,3.91
4.51,3.70
4.56,3.48
4.60,3.24
4.62,2.99
4.64,2.72
4.64,2.44
4.64,2.14
4.62,1.82
4.60,1.49
4.57,1.14
4.54,0.78
4.49,0.39
4.44,-0.02
4.38,-0.44
4.32,-0.88
4.26,-1.32
4.19,-1.76
4.11,-2.20
4.03,-2.62
3.95,-3.00
3.86,-3.36
3.77,-3.67
3.68,-3.94
3.58,-4.17
3.49,-4.35
