neuron_1,neuron_2,neuron_3
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.05,0.05,0.05
0.09,0.09,0.09
0.13,0.13,0.12
0.16,0.16,0.14
0.18,0.18,0.16
0.20,0.20,0.18
0.22,0.22,0.20
0.23,0.24,0.21
0.24,0.25,0.22
0.25,0.26,0.23
0.25,0.27,0.23
0.25,0.27,0.24
0.26,0.28,0.24
0.26,0.28,0.25
0.26,0.29,0.25
0.26,0.29,0.25
0.26,0.29,0.26
0.26,0.29,0.26
0.26,0.30,0.26
0.26,0.30,0.27
0.25,0.30,0.27
0.25,0.30,0.27
0.25,0.30,0.27
0.25,0.29,0.28
0.25,0.29,0.28
0.25,0.29,0.28
0.24,0.29,0.28
0.24,0.29,0.29
0.24,0.28,0.29
0.24,0.28,0.29
0.24,0.28,0.29
0.24,0.27,0.29
0.24,0.27,0.30
0.24,0.27,0.30
0.24,0.26,0.30
0.24,0.26,0.30
0.24,0.25,0.30
0.25,0.25,0.30
0.25,0.25,0.30
0.25,0.24,0.30
0.25,0.24,0.30
0.25,0.23,0.30
0.26,0.23,0.30
0.26,0.23,0.30
0.26,0.22,0.29
0.27,0.22,0.29
0.27,0.22,0.29
0.27,0.22,0.28
0.28,0.21,0.28
0.28,0.21,0.28
0.29,0.21,0.27
0.29,0.21,0.27
0.29,0.21,0.26
0.30,0.21,0.26
0.30,0.21,0.25
0.30,0.21,0.25
0.30,0.21,0.24
0.31,0.22,0.23
0.31,0.22,0.23
0.31,0.22,0.22
0.31,0.23,0.22
0.31,0.23,0.21
0.31,0.24,0.20
0.31,0.24,0.20
0.31,0.25,0.19
0.30,0.25,0.19
0.30,0.26,0.19
0.30,0.26,0.18
0.29,0.27,0.18
0.29,0.28,0.18
0.28,0.28,0.17
0.28,0.29,0.17
0.27,0.29,0.17
0.26,0.30,0.17
0.26,0.30,0.17
0.25,0.31,0.17
0.24,0.31,0.18
0.23,0.32,0.18
0.22,0.32,0.18
0.21,0.32,0.19
0.20,0.33,0.19
0.20,0.33,0.20
0.19,0.33,0.21
0.18,0.33,0.21
0.17,0.33,0.22
0.16,0.33,0.23
0.15,0.32,0.24
0.15,0.32,0.25
0.14,0.31,0.26
0.14,0.31,0.27
0.13,0.30,0.28
0.13,0.29,0.29
0.12,0.28,0.30
0.12,0.27,0.31
0.12,0.26,0.32
0.12,0.25,0.33
0.12,0.24,0.34
0.13,0.23,0.34
0.13,0.22,0.35
0.13,0.20,0.36
0.14,0.19,0.36
0.15,0.18,0.36
0.16,0.16,0.37
0.17,0.15,0.37
0.18,0.14,0.37
0.19,0.12,0.37
0.20,0.11,0.37
0.22,0.10,0.36
0.23,0.09,0.36
0.25,0.08,0.35
0.26,0.07,0.34
0.28,0.06,0.33
0.29,0.06,0.32
0.31,0.05,0.30
0.33,0.05,0.29
0.34,0.05,0.27
0.36,0.05,0.26
0.37,0.05,0.24
0.38,0.06,0.22
0.40,0.06,0.20
0.41,0.07,0.18
0.42,0.08,0.16
0.43,0.09,0.14
0.43,0.11,0.12
0.44,0.12,0.10
0.44,0.14,0.08
0.44,0.16,0.06
0.44,0.18,0.04
0.43,0.20,0.02
0.43,0.22,0.00
0.42,0.25,0.00
0.41,0.27,0.00
0.40,0.29,0.00
0.38,0.32,0.00
0.36,0.34,0.00
0.34,0.36,0.00
0.32,0.38,0.00
0.30,0.39,0.00
0.28,0.41,0.00
0.25,0.43,0.00
0.22,0.44,0.00
0.20,0.46,0.00
0.17,0.47,0.00
0.14,0.48,0.00
0.11,0.50,0.02
0.09,0.51,0.04
0.06,0.51,0.07
0.03,0.52,0.09
0.00,0.52,0.12
0.00,0.52,0.15
0.00,0.52,0.18
0.00,0.51,0.21
0.00,0.50,0.23
0.00,0.48,0.26
0.00,0.47,0.28
0.00,0.45,0.30
0.00,0.43,0.32
0.00,0.40,0.34
0.00,0.38,0.36
0.00,0.35,0.38
0.00,0.33,0.40
0.00,0.30,0.41
0.00,0.27,0.43
0.00,0.24,0.44
0.00,0.21,0.46
0.00,0.18,0.47
0.00,0.15,0.48
0.00,0.12,0.49
0.00,0.09,0.51
0.00,0.06,0.52
0.00,0.03,0.52
0.00,0.00,0.53
0.02,0.00,0.54
0.05,0.00,0.55
0.08,0.00,0.55
0.12,0.00,0.54
0.14,0.00,0.54
0.17,0.00,0.53
0.20,0.00,0.52
0.22,0.00,0.50
0.25,0.00,0.48
0.27,0.00,0.46
0.29,0.00,0.44
0.31,0.00,0.42
0.33,0.00,0.39
0.35,0.00,0.37
0.37,0.00,0.34
0.39,0.00,0.31
0.40,0.00,0.28
0.42,0.00,0.25
0.43,0.00,0.22
0.44,0.00,0.19
0.46,0.00,0.16
0.47,0.00,0.13
0.48,0.00,0.10
0.49,0.00,0.07
0.50,0.00,0.04
0.51,0.00,0.01
0.52,0.00,0.00
0.53,0.00,0.00
0.53,0.01,0.00
0.54,0.05,0.00
0.54,0.08,0.00
0.54,0.11,0.00
0.54,0.14,0.00
0.53,0.16,0.00
0.53,0.19,0.00
0.51,0.21,0.00
0.50,0.24,0.00
0.48,0.26,0.00
0.46,0.28,0.00
0.44,0.30,0.00
0.42,0.32,0.00
0.39,0.34,0.00
0.37,0.35,0.00
0.34,0.37,0.00
0.31,0.38,0.00
0.28,0.40,0.00
0.25,0.41,0.00
0.23,0.43,0.00
0.20,0.44,0.00
0.17,0.45,0.00
0.14,0.46,0.00
0.11,0.47,0.00
0.08,0.48,0.00
0.05,0.49,0.00
0.02,0.50,0.00
0.00,0.51,0.00
0.00,0.51,0.00
0.00,0.52,0.01
0.00,0.53,0.05
0.00,0.53,0.08
0.00,0.53,0.10
0.00,0.53,0.13
0.00,0.52,0.16
0.00,0.51,0.18
0.00,0.50,0.21
0.00,0.48,0.23
0.00,0.46,0.25
0.00,0.45,0.27
0.00,0.42,0.29
0.00,0.40,0.31
0.00,0.38,0.33
0.00,0.35,0.34
0.00,0.33,0.36
0.00,0.30,0.37
0.00,0.27,0.39
0.00,0.25,0.40
0.00,0.22,0.41
0.00,0.19,0.43
0.00,0.16,0.44
0.00,0.13,0.45
0.00,0.10,0.46
0.00,0.07,0.47
0.00,0.04,0.48
0.00,0.02,0.48
0.00,0.00,0.49
0.00,0.00,0.50
0.00,0.00,0.51
0.01,0.00,0.51
0.04,0.00,0.52
0.07,0.00,0.52
0.10,0.00,0.51
0.12,0.00,0.51
0.15,0.00,0.50
0.17,0.00,0.49
0.20,0.00,0.47
0.22,0.00,0.46
0.24,0.00,0.44
0.26,0.00,0.42
0.28,0.00,0.40
0.30,0.00,0.37
0.31,0.00,0.35
0.33,0.00,0.32
0.35,0.00,0.30
0.36,0.00,0.27
0.38,0.00,0.24
0.39,0.00,0.22
0.40,0.00,0.19
0.41,0.00,0.16
0.42,0.00,0.13
0.43,0.00,0.10
0.44,0.00,0.08
0.45,0.00,0.05
0.46,0.00,0.02
0.47,0.00,0.00
0.48,0.00,0.00
0.48,0.00,0.00
0.49,0.00,0.00
0.50,0.03,0.00
0.50,0.06,0.00
0.50,0.09,0.00
0.50,0.11,0.00
0.50,0.14,0.00
0.49,0.16,0.00
0.48,0.19,0.00
0.46,0.21,0.00
0.45,0.23,0.00
0.43,0.25,0.00
0.41,0.27,0.00
0.39,0.29,0.00
0.37,0.30,0.00
0.35,0.32,0.00
0.32,0.33,0.00
0.30,0.35,0.00
0.27,0.36,0.00
0.25,0.38,0.00
0.22,0.39,0.00
0.19,0.40,0.00
0.16,0.41,0.00
0.14,0.42,0.00
0.11,0.43,0.00
0.08,0.44,0.00
0.06,0.45,0.00
0.03,0.46,0.00
0.00,0.46,0.00
0.00,0.47,0.00
0.00,0.48,0.00
0.00,0.48,0.02
0.00,0.49,0.05
0.00,0.49,0.08
0.00,0.49,0.11
0.00,0.49,0.13
0.00,0.48,0.16
0.00,0.47,0.18
0.00,0.46,0.20
0.00,0.44,0.22
0.00,0.43,0.24
0.00,0.41,0.26
0.00,0.39,0.28
0.00,0.37,0.29
0.00,0.34,0.31
0.00,0.32,0.32
0.00,0.30,0.34
0.00,0.27,0.35
0.00,0.24,0.37
0.00,0.22,0.38
0.00,0.19,0.39
0.00,0.17,0.40
0.00,0.14,0.41
0.00,0.11,0.42
0.00,0.09,0.43
0.00,0.06,0.44
0.00,0.03,0.45
0.00,0.01,0.45
0.00,0.00,0.46
0.00,0.00,0.47
0.00,0.00,0.47
0.02,0.00,0.48
0.05,0.00,0.48
0.08,0.00,0.48
0.10,0.00,0.48
0.13,0.00,0.47
0.15,0.00,0.46
0.17,0.00,0.45
0.19,0.00,0.44
0.21,0.00,0.42
0.23,0.00,0.40
0.25,0.00,0.38
0.27,0.00,0.36
0.29,0.00,0.34
0.30,0.00,0.32
0.32,0.00,0.29
0.33,0.00,0.27
0.35,0.00,0.24
0.36,0.00,0.22
0.37,0.00,0.19
0.38,0.00,0.17
0.39,0.00,0.14
0.40,0.00,0.11
0.41,0.00,0.09
0.42,0.00,0.06
0.43,0.00,0.04
0.44,0.00,0.01
0.45,0.00,0.00
0.45,0.00,0.00
0.46,0.00,0.00
0.47,0.02,0.00
0.47,0.05,0.00
0.48,0.07,0.00
0.47,0.10,0.00
0.47,0.12,0.00
0.46,0.15,0.00
0.46,0.17,0.00
0.44,0.19,0.00
0.43,0.21,0.00
0.41,0.23,0.00
0.40,0.25,0.00
0.38,0.26,0.00
0.36,0.28,0.00
0.34,0.30,0.00
0.31,0.31,0.00
0.29,0.33,0.00
0.27,0.34,0.00
0.24,0.35,0.00
0.22,0.36,0.00
0.19,0.38,0.00
0.17,0.39,0.00
0.14,0.40,0.00
0.11,0.41,0.00
0.09,0.42,0.00
0.06,0.42,0.00
0.04,0.43,0.00
0.01,0.44,0.00
0.00,0.45,0.00
0.00,0.45,0.00
0.00,0.46,0.02
0.00,0.47,0.05
0.00,0.47,0.07
0.00,0.47,0.10
0.00,0.46,0.12
0.00,0.46,0.14
0.00,0.45,0.17
0.00,0.44,0.19
0.00,0.42,0.21
0.00,0.41,0.23
0.00,0.39,0.24
0.00,0.37,0.26
0.00,0.35,0.28
0.00,0.33,0.29
0.00,0.31,0.31
0.00,0.29,0.32
0.00,0.26,0.34
0.00,0.24,0.35
0.00,0.21,0.36
0.00,0.19,0.37
0.00,0.16,0.38
0.00,0.14,0.39
0.00,0.11,0.40
0.00,0.09,0.41
0.00,0.06,0.42
0.00,0.04,0.43
0.00,0.01,0.44
0.00,0.00,0.44
0.00,0.00,0.45
0.00,0.00,0.46
0.02,0.00,0.46
0.05,0.00,0.46
0.07,0.00,0.46
0.10,0.00,0.46
0.12,0.00,0.45
0.14,0.00,0.44
0.17,0.00,0.43
0.19,0.00,0.42
0.21,0.00,0.40
0.23,0.00,0.39
0.24,0.00,0.37
0.26,0.00,0.35
0.28,0.00,0.33
0.29,0.00,0.31
0.31,0.00,0.28
0.32,0.00,0.26
0.33,0.00,0.24
0.35,0.00,0.21
