neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.24,0.22
0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.32,0.29,0.26
0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.39,0.35,0.31,0.26
0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.39,0.41,0.36,0.31,0.26
0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.37,0.39,0.42,0.38,0.32,0.25
0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.36,0.39,0.43,0.39,0.33,0.25
0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.33,0.34,0.38,0.44,0.40,0.34,0.26
0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.32,0.32,0.36,0.45,0.41,0.35,0.26
0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.31,0.31,0.35,0.45,0.42,0.36,0.26
0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.36,0.34,0.30,0.29,0.33,0.45,0.43,0.37,0.27
0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.37,0.35,0.30,0.27,0.31,0.44,0.43,0.38,0.27
0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.37,0.38,0.37,0.30,0.26,0.29,0.43,0.44,0.39,0.28
0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.37,0.39,0.39,0.30,0.24,0.27,0.42,0.44,0.40,0.28
0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.33,0.34,0.37,0.41,0.41,0.31,0.24,0.24,0.41,0.43,0.40,0.28
0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.33,0.32,0.36,0.42,0.43,0.33,0.23,0.22,0.40,0.43,0.41,0.29
0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.32,0.31,0.35,0.42,0.46,0.34,0.23,0.21,0.39,0.43,0.41,0.29
0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.35,0.31,0.29,0.33,0.42,0.48,0.36,0.24,0.19,0.38,0.42,0.42,0.29
0.35,0.35,0.35,0.34,0.35,0.36,0.37,0.35,0.31,0.27,0.31,0.42,0.51,0.39,0.24,0.18,0.36,0.42,0.42,0.30
0.35,0.35,0.34,0.34,0.34,0.36,0.37,0.36,0.31,0.25,0.29,0.41,0.53,0.41,0.25,0.16,0.35,0.41,0.42,0.30
0.35,0.35,0.34,0.34,0.34,0.36,0.39,0.38,0.32,0.23,0.26,0.40,0.55,0.44,0.27,0.15,0.34,0.41,0.42,0.30
0.35,0.35,0.34,0.33,0.33,0.36,0.40,0.40,0.33,0.21,0.23,0.38,0.56,0.47,0.28,0.14,0.33,0.40,0.42,0.30
0.35,0.35,0.34,0.33,0.32,0.35,0.41,0.42,0.35,0.20,0.19,0.35,0.57,0.49,0.30,0.14,0.32,0.39,0.42,0.31
0.35,0.35,0.34,0.32,0.31,0.34,0.41,0.45,0.37,0.19,0.15,0.32,0.57,0.52,0.32,0.13,0.31,0.39,0.42,0.31
0.35,0.35,0.35,0.32,0.30,0.32,0.42,0.48,0.40,0.19,0.12,0.28,0.57,0.54,0.35,0.13,0.30,0.38,0.42,0.31
0.35,0.36,0.35,0.32,0.28,0.30,0.42,0.51,0.44,0.20,0.09,0.24,0.57,0.56,0.37,0.13,0.29,0.37,0.42,0.31
0.35,0.37,0.36,0.32,0.26,0.27,0.41,0.54,0.49,0.21,0.06,0.19,0.56,0.58,0.40,0.14,0.28,0.36,0.42,0.31
0.35,0.38,0.38,0.32,0.24,0.23,0.39,0.56,0.54,0.23,0.03,0.14,0.54,0.60,0.42,0.14,0.28,0.35,0.41,0.30
0.35,0.38,0.40,0.33,0.22,0.19,0.36,0.58,0.60,0.26,0.01,0.09,0.52,0.61,0.45,0.15,0.27,0.35,0.41,0.30
0.34,0.39,0.42,0.35,0.21,0.14,0.33,0.60,0.66,0.30,0.00,0.04,0.50,0.62,0.47,0.16,0.27,0.34,0.41,0.29
0.33,0.40,0.45,0.38,0.20,0.09,0.28,0.60,0.72,0.35,0.00,0.00,0.47,0.62,0.50,0.17,0.27,0.34,0.40,0.28
0.32,0.40,0.48,0.42,0.21,0.04,0.22,0.60,0.78,0.41,0.00,0.00,0.44,0.63,0.52,0.18,0.27,0.34,0.40,0.26
0.29,0.40,0.51,0.47,0.22,0.00,0.15,0.58,0.84,0.47,0.00,0.00,0.40,0.62,0.54,0.19,0.28,0.34,0.40,0.25
0.26,0.38,0.55,0.53,0.24,0.00,0.07,0.55,0.88,0.53,0.01,0.00,0.36,0.61,0.56,0.20,0.28,0.35,0.40,0.23
0.23,0.36,0.58,0.59,0.28,0.00,0.00,0.50,0.92,0.60,0.03,0.00,0.32,0.60,0.57,0.21,0.29,0.36,0.41,0.22
0.18,0.33,0.59,0.66,0.33,0.00,0.00,0.45,0.95,0.66,0.05,0.00,0.28,0.59,0.59,0.21,0.29,0.38,0.43,0.21
0.13,0.28,0.60,0.73,0.39,0.00,0.00,0.38,0.96,0.72,0.08,0.00,0.24,0.57,0.59,0.22,0.30,0.40,0.46,0.20
0.07,0.21,0.59,0.79,0.46,0.00,0.00,0.30,0.97,0.79,0.11,0.00,0.20,0.55,0.60,0.21,0.30,0.42,0.50,0.21
0.02,0.14,0.56,0.85,0.53,0.00,0.00,0.22,0.96,0.85,0.15,0.00,0.16,0.52,0.60,0.20,0.30,0.45,0.56,0.24
0.00,0.05,0.52,0.89,0.60,0.00,0.00,0.12,0.94,0.90,0.19,0.00,0.13,0.50,0.59,0.19,0.29,0.48,0.62,0.28
0.00,0.00,0.47,0.92,0.68,0.00,0.00,0.02,0.92,0.96,0.24,0.00,0.10,0.48,0.59,0.16,0.26,0.50,0.69,0.33
0.00,0.00,0.41,0.94,0.77,0.00,0.00,0.00,0.88,1.01,0.29,0.00,0.08,0.47,0.58,0.13,0.22,0.50,0.76,0.40
0.00,0.00,0.34,0.94,0.86,0.00,0.00,0.00,0.83,1.06,0.34,0.00,0.07,0.46,0.58,0.09,0.17,0.49,0.82,0.47
0.00,0.00,0.26,0.94,0.96,0.00,0.00,0.00,0.77,1.10,0.40,0.00,0.06,0.46,0.59,0.05,0.10,0.47,0.87,0.54
0.00,0.00,0.17,0.93,1.05,0.00,0.00,0.00,0.70,1.13,0.45,0.00,0.06,0.47,0.61,0.01,0.02,0.43,0.90,0.62
0.00,0.00,0.07,0.91,1.13,0.00,0.00,0.00,0.62,1.15,0.51,0.00,0.06,0.50,0.64,0.00,0.00,0.38,0.93,0.70
0.00,0.00,0.00,0.87,1.21,0.05,0.00,0.00,0.54,1.17,0.56,0.00,0.06,0.53,0.69,0.00,0.00,0.31,0.95,0.80
0.00,0.00,0.00,0.83,1.28,0.11,0.00,0.00,0.45,1.18,0.60,0.00,0.06,0.56,0.74,0.00,0.00,0.24,0.95,0.89
0.00,0.00,0.00,0.78,1.35,0.18,0.00,0.00,0.36,1.18,0.64,0.00,0.05,0.59,0.80,0.00,0.00,0.16,0.94,0.98
0.00,0.00,0.00,0.71,1.40,0.25,0.00,0.00,0.26,1.18,0.67,0.00,0.03,0.60,0.87,0.00,0.00,0.07,0.93,1.07
0.01,0.00,0.00,0.63,1.45,0.34,0.00,0.00,0.17,1.18,0.70,0.00,0.00,0.61,0.94,0.00,0.00,0.00,0.90,1.15
0.07,0.00,0.00,0.53,1.48,0.43,0.00,0.00,0.07,1.17,0.73,0.00,0.00,0.61,1.02,0.00,0.00,0.00,0.86,1.23
0.12,0.00,0.00,0.43,1.50,0.52,0.00,0.00,0.00,1.16,0.76,0.00,0.00,0.60,1.10,0.00,0.00,0.00,0.81,1.30
0.19,0.00,0.00,0.32,1.51,0.62,0.00,0.00,0.00,1.15,0.78,0.00,0.00,0.59,1.18,0.04,0.00,0.00,0.74,1.35
0.27,0.00,0.00,0.20,1.50,0.73,0.00,0.00,0.00,1.13,0.81,0.00,0.00,0.56,1.25,0.08,0.00,0.00,0.66,1.40
0.35,0.00,0.00,0.07,1.49,0.83,0.00,0.00,0.00,1.12,0.84,0.00,0.00,0.52,1.31,0.12,0.00,0.00,0.57,1.43
0.45,0.00,0.00,0.00,1.46,0.92,0.00,0.00,0.00,1.10,0.86,0.00,0.00,0.47,1.37,0.18,0.00,0.00,0.47,1.45
0.55,0.00,0.00,0.00,1.42,1.01,0.00,0.00,0.00,1.07,0.89,0.00,0.00,0.41,1.42,0.24,0.00,0.00,0.35,1.46
0.66,0.00,0.00,0.00,1.37,1.10,0.00,0.00,0.00,1.05,0.93,0.00,0.00,0.34,1.46,0.31,0.00,0.00,0.23,1.46
0.76,0.00,0.00,0.00,1.31,1.18,0.00,0.00,0.00,1.02,0.97,0.00,0.00,0.26,1.49,0.39,0.00,0.00,0.10,1.44
0.86,0.00,0.00,0.00,1.25,1.26,0.00,0.00,0.00,0.99,1.01,0.00,0.00,0.17,1.51,0.48,0.00,0.00,0.00,1.41
0.95,0.00,0.00,0.00,1.18,1.33,0.00,0.00,0.00,0.95,1.07,0.00,0.00,0.07,1.52,0.58,0.00,0.00,0.00,1.37
1.04,0.00,0.00,0.00,1.10,1.40,0.00,0.00,0.00,0.91,1.13,0.00,0.00,0.00,1.52,0.68,0.00,0.00,0.00,1.32
1.12,0.00,0.00,0.00,1.01,1.47,0.00,0.00,0.00,0.87,1.20,0.00,0.00,0.00,1.50,0.79,0.00,0.00,0.00,1.26
